OMRÅDE;TID;INDHOLD
Hele landet;2021K1;5840045
Region Hovedstaden;2021K1;1855084
København;2021K1;638117
Frederiksberg;2021K1;103677
Dragør;2021K1;14569
Tårnby;2021K1;42670
Albertslund;2021K1;27366
Ballerup;2021K1;49310
Brøndby;2021K1;35232
Gentofte;2021K1;74550
Gladsaxe;2021K1;69200
Glostrup;2021K1;23380
Herlev;2021K1;28913
Hvidovre;2021K1;53451
Høje-Taastrup;2021K1;51729
Ishøj;2021K1;23131
Lyngby-Taarbæk;2021K1;56614
Rødovre;2021K1;41113
Vallensbæk;2021K1;16515
Allerød;2021K1;25893
Egedal;2021K1;43696
Fredensborg;2021K1;40998
Frederikssund;2021K1;45439
Furesø;2021K1;41001
Gribskov;2021K1;40971
Halsnæs;2021K1;31420
Helsingør;2021K1;63000
Hillerød;2021K1;51528
Hørsholm;2021K1;24917
Rudersdal;2021K1;57024
Bornholm;2021K1;39570
Christiansø;2021K1;90
Region Sjælland;2021K1;838840
Greve;2021K1;50514
Køge;2021K1;61475
Lejre;2021K1;28173
Roskilde;2021K1;88889
Solrød;2021K1;23441
Faxe;2021K1;36713
Guldborgsund;2021K1;60328
Holbæk;2021K1;71913
Kalundborg;2021K1;48487
Lolland;2021K1;40539
Næstved;2021K1;83181
Odsherred;2021K1;32923
Ringsted;2021K1;34847
Slagelse;2021K1;79122
Sorø;2021K1;29993
Stevns;2021K1;23034
Vordingborg;2021K1;45268
Region Syddanmark;2021K1;1223634
Assens;2021K1;40867
Faaborg-Midtfyn;2021K1;51683
Kerteminde;2021K1;23847
Langeland;2021K1;12367
Middelfart;2021K1;39116
Nordfyns;2021K1;29549
Nyborg;2021K1;31933
Odense;2021K1;205509
Svendborg;2021K1;58588
Ærø;2021K1;5960
Billund;2021K1;26551
Esbjerg;2021K1;115579
Fanø;2021K1;3456
Fredericia;2021K1;51275
Haderslev;2021K1;55376
Kolding;2021K1;93161
Sønderborg;2021K1;73831
Tønder;2021K1;37050
Varde;2021K1;49628
Vejen;2021K1;42790
Vejle;2021K1;116992
Aabenraa;2021K1;58526
Region Midtjylland;2021K1;1332048
Favrskov;2021K1;48381
Hedensted;2021K1;46773
Horsens;2021K1;92229
Norddjurs;2021K1;36943
Odder;2021K1;22979
Randers;2021K1;98190
Samsø;2021K1;3682
Silkeborg;2021K1;95488
Skanderborg;2021K1;63390
Syddjurs;2021K1;43168
Aarhus;2021K1;352751
Herning;2021K1;89238
Holstebro;2021K1;58662
Ikast-Brande;2021K1;41473
Lemvig;2021K1;19607
Ringkøbing-Skjern;2021K1;56182
Skive;2021K1;45425
Struer;2021K1;20808
Viborg;2021K1;96679
Region Nordjylland;2021K1;590439
Brønderslev;2021K1;36177
Frederikshavn;2021K1;59039
Hjørring;2021K1;64155
Jammerbugt;2021K1;38175
Læsø;2021K1;1764
Mariagerfjord;2021K1;41536
Morsø;2021K1;20066
Rebild;2021K1;30518
Thisted;2021K1;43160
Vesthimmerlands;2021K1;36362
Aalborg;2021K1;219487
