TID;CIVILSTAND;INDHOLD
2008K1;Ugift;2552700
2008K1;Gift/separeret;2176977
2008K1;Enke/enkemand;317250
2008K1;Fraskilt;428864
2008K2;Ugift;2563134
2008K2;Gift/separeret;2171174
2008K2;Enke/enkemand;316408
2008K2;Fraskilt;431550
2008K3;Ugift;2564705
2008K3;Gift/separeret;2176196
2008K3;Enke/enkemand;315408
2008K3;Fraskilt;432713
2008K4;Ugift;2568255
2008K4;Gift/separeret;2191033
2008K4;Enke/enkemand;314551
2008K4;Fraskilt;432156
2009K1;Ugift;2575185
2009K1;Gift/separeret;2188259
2009K1;Enke/enkemand;313774
2009K1;Fraskilt;434233
2009K2;Ugift;2584993
2009K2;Gift/separeret;2180280
2009K2;Enke/enkemand;312548
2009K2;Fraskilt;437466
2009K3;Ugift;2584560
2009K3;Gift/separeret;2183708
2009K3;Enke/enkemand;311795
2009K3;Fraskilt;439378
2009K4;Ugift;2588198
2009K4;Gift/separeret;2193779
2009K4;Enke/enkemand;311126
2009K4;Fraskilt;439428
2010K1;Ugift;2593172
2010K1;Gift/separeret;2189368
2010K1;Enke/enkemand;310285
2010K1;Fraskilt;441913
2010K2;Ugift;2604129
2010K2;Gift/separeret;2181819
2010K2;Enke/enkemand;309528
2010K2;Fraskilt;444765
2010K3;Ugift;2604479
2010K3;Gift/separeret;2184152
2010K3;Enke/enkemand;308855
2010K3;Fraskilt;446333
2010K4;Ugift;2610799
2010K4;Gift/separeret;2191517
2010K4;Enke/enkemand;308135
2010K4;Fraskilt;447258
2011K1;Ugift;2616048
2011K1;Gift/separeret;2187702
2011K1;Enke/enkemand;307269
2011K1;Fraskilt;449609
2011K2;Ugift;2626084
2011K2;Gift/separeret;2177947
2011K2;Enke/enkemand;306548
2011K2;Fraskilt;453640
2011K3;Ugift;2627295
2011K3;Gift/separeret;2178670
2011K3;Enke/enkemand;305786
2011K3;Fraskilt;455105
2011K4;Ugift;2634540
2011K4;Gift/separeret;2183712
2011K4;Enke/enkemand;305106
2011K4;Fraskilt;455846
2012K1;Ugift;2639530
2012K1;Gift/separeret;2178131
2012K1;Enke/enkemand;304425
2012K1;Fraskilt;458430
2012K2;Ugift;2649701
2012K2;Gift/separeret;2168562
2012K2;Enke/enkemand;303757
2012K2;Fraskilt;462738
2012K3;Ugift;2650422
2012K3;Gift/separeret;2168353
2012K3;Enke/enkemand;303100
2012K3;Fraskilt;465210
2012K4;Ugift;2657677
2012K4;Gift/separeret;2173196
2012K4;Enke/enkemand;302436
2012K4;Fraskilt;466356
2013K1;Ugift;2662659
2013K1;Gift/separeret;2169369
2013K1;Enke/enkemand;301709
2013K1;Fraskilt;468891
2013K2;Ugift;2673091
2013K2;Gift/separeret;2158728
2013K2;Enke/enkemand;300725
2013K2;Fraskilt;473292
2013K3;Ugift;2675409
2013K3;Gift/separeret;2156743
2013K3;Enke/enkemand;300125
2013K3;Fraskilt;476507
2013K4;Ugift;2681019
2013K4;Gift/separeret;2165925
2013K4;Enke/enkemand;299501
2013K4;Fraskilt;477056
2014K1;Ugift;2687098
2014K1;Gift/separeret;2154621
2014K1;Enke/enkemand;299180
2014K1;Fraskilt;486336
2014K2;Ugift;2698124
2014K2;Gift/separeret;2144763
2014K2;Enke/enkemand;298641
2014K2;Fraskilt;492909
2014K3;Ugift;2700182
2014K3;Gift/separeret;2144241
2014K3;Enke/enkemand;298227
2014K3;Fraskilt;497069
2014K4;Ugift;2709113
2014K4;Gift/separeret;2148451
2014K4;Enke/enkemand;297391
2014K4;Fraskilt;500795
2015K1;Ugift;2714540
2015K1;Gift/separeret;2143625
2015K1;Enke/enkemand;297045
2015K1;Fraskilt;504505
2015K2;Ugift;2727425
2015K2;Gift/separeret;2138481
2015K2;Enke/enkemand;296216
2015K2;Fraskilt;506621
2015K3;Ugift;2732381
2015K3;Gift/separeret;2140400
2015K3;Enke/enkemand;295645
2015K3;Fraskilt;509922
2015K4;Ugift;2744254
2015K4;Gift/separeret;2146756
